lookback,trail,filter,is_sharpe,oos_sharpe,oos_trades,full_sharpe,cagr,max_dd,wr,trades,pf,ch_pass,ch_breach
20,2.5,True,1.149,0.428,121,1.073,9.92,-4.4,40.9,462,1.8,3.3,0.0
20,2.5,False,1.012,0.34,142,0.955,10.32,-5.34,40.0,538,1.72,5.2,0.0
20,3.0,True,1.164,0.058,113,1.04,8.21,-4.42,39.8,407,1.78,1.5,0.0
20,3.0,False,1.075,-0.015,132,0.961,7.73,-5.11,39.2,472,1.64,1.3,0.0
20,3.5,True,1.159,-0.042,102,1.045,7.05,-4.48,38.5,358,1.8,0.7,0.0
20,3.5,False,1.093,-0.123,116,0.99,6.89,-4.25,38.3,407,1.68,0.7,0.0
100,2.5,True,0.9,-0.167,56,0.827,6.48,-4.18,38.2,228,2.0,2.0,0.0
100,2.5,False,0.9,-0.167,56,0.827,6.48,-4.18,38.2,228,2.0,2.0,0.0
55,2.5,False,0.943,-0.196,81,0.871,7.1,-4.14,39.9,318,1.83,2.0,0.0
55,2.5,True,0.944,-0.438,82,0.853,6.94,-5.1,39.2,316,1.79,2.0,0.0
55,3.0,False,0.953,-0.553,76,0.855,6.02,-5.31,40.5,284,1.8,2.0,0.0
100,3.0,False,0.963,-0.659,54,0.849,5.69,-5.03,41.6,202,2.01,2.0,0.0
100,3.0,True,0.963,-0.659,54,0.849,5.69,-5.03,41.6,202,2.01,2.0,0.0
55,3.0,True,0.957,-0.785,77,0.838,5.9,-6.34,39.7,282,1.77,2.0,0.0
55,3.5,False,0.972,-0.958,73,0.84,5.11,-5.9,38.1,257,1.77,2.0,0.0
55,3.5,True,0.99,-1.081,73,0.842,5.12,-6.06,37.4,254,1.76,2.0,0.0
100,3.5,True,1.052,-1.158,53,0.899,5.26,-5.81,39.4,180,2.08,2.0,0.0
100,3.5,False,1.052,-1.158,53,0.899,5.26,-5.81,39.4,180,2.08,2.0,0.0
